Model,Metric,Value,Alpha,Confidence Interval,p-value,ANOVA with bonferroni collection p-value
efficientNetB3,Sensitivity,0.8269230769230769,99.9,0.0813784911785882,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,80.0,0.035587575106580505,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,85.0,0.039974540016685545,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,90.0,0.04567615815255288,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,95.0,0.054426499394405026,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,97.5,0.06224180911428134,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,99.0,0.07152854498119476,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,99.5,0.07794889237655622,0.000540935982606621,0.2424619337408715
efficientNetB3,Specificity,0.7637362637362637,99.9,0.09137507248677657,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,80.0,0.04059756331778597,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,85.0,0.045602121374284876,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,90.0,0.05210640840680891,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,95.0,0.062088615161678296,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,97.5,0.07100415746121869,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,99.0,0.08159827201506065,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,99.5,0.08892247039398227,0.000540935982606621,0.2424619337408715
efficientNetB3,F1 Score,0.6231884057971014,99.9,0.10423877659096958,0.000540935982606621,0.2424619337408715
